Academia,freq
brazil,35
country,33
climate,29
sector,28
environmental,25
change,25
emission,25
action,23
must,22
energy,21
international,20
national,15
area,15
mitigation,13
global,13
measure,12
plan,12
adaptation,12
brazilian,12
need,12
education,12
impact,12
strategy,11
necessary,11
technology,11
contribution,10
would,10
without,10
public,10
carbon,10
use,10
economic,10
since,9
development,9
reduction,9
also,9
security,9
cooperation,9
year,9
level,9
example,9
new,9
government,8
addition,8
vulnerable,8
resource,8
goal,7
principle,7
question,7
view,7
process,7
future,7
alternative,7
policy,7
effective,7
population,7
target,7
society,7
responsibility,6
state,6
make,6
warming,6
issue,6
deforestation,6
increase,6
consider,6
effort,6
place,6
initiative,6
human,6
different,6
whole,6
land,6
one,6
social,6
economy,6
could,6
low,6
efficient,6
especially,5
knowledge,5
problem,5
legislative,5
believe,5
scale,5
part,5
reduce,5
may,5
political,5
reducing,5
decade,5
lack,5
already,5
high,5
investment,5
water,5
cannot,5
present,5
transport,5
support,5
however,5
environment,5
long,5
study,5
mitigate,5
world,5
civil,5
among,5
decision,5
solar,5
based,5
encourage,4
food,4
event,4
benefit,4
understand,4
lead,4
adapting,4
renewable,4
term,4
greater,4
risk,4
generation,4
balanced,4
mean,4
seek,4
time,4
control,4
effect,4
developed,4
caput,4
objective,4
clean,4
see,4
way,4
group,4
developing,4
common,4
practice,4
sense,4
industrial,4
participation,4
commitment,4
transfer,4
case,4
context,4
patent,4
implementation,4
agreement,4
incentive,4
increasing,4
specific,4
demand,4
large,4
capacity,4
individual,4
concern,4
period,4
historical,4
option,4
region,4
discussed,4
short,4
baseline,3
infrastructure,3
observed,3
growth,3
leadership,3
average,3
adaptive,3
condition,3
subsidy,3
regime,3
loss,3
protection,3
matrix,3
al,3
limit,3
forest,3
another,3
poor,3
generated,3
efficiency,3
review,3
basic,3
co,3
increased,3
redd,3
arid,3
considering,3
extreme,3
semi,3
resilience,3
face,3
intensive,3
even,3
medium,3
per,3
atmosphere,3
something,3
treaty,3
coming,3
natural,3
differentiated,3
information,3
first,3
point,3
mitigating,3
poverty,3
due,3
prepared,3
subject,3
fuel,3
gas,3
biodiversity,3
local,3
together,3
hand,3
system,3
including,3
account,3
life,3
making,3
main,3
worldwide,3
result,3
wind,3
regarding,3
active,3
etc,3
people,3
ecologically,3
topic,3
dynamic,3
establish,3
organization,3
factor,3
others,3
much,3
right,3
possible,3
current,3
position,3
like,3
urban,3
negotiation,3
act,3
adopted,3
made,3
mechanism,3
phenomenon,2
scientific,2
existence,2
crisis,2
rich,2
domain,2
standard,2
done,2
related,2
farming,2
cf,2
compromise,2
multiple,2
family,2
community,2
city,2
precisely,2
alone,2
independent,2
ensure,2
situation,2
therefore,2
technical,2
brics,2
combat,2
posture,2
constant,2
convention,2
sized,2
potential,2
th,2
ets,2
estimated,2
ocean,2
prioritize,2
formal,2
still,2
substantial,2
reality,2
law,2
south,2
serve,2
sequestration,2
scope,2
sometimes,2
paradigm,2
required,2
let,2
criterion,2
going,2
ecological,2
always,2
emerging,2
evaluating,2
scrap,2
globe,2
great,2
implementing,2
everyone,2
money,2
avoid,2
adapted,2
implemented,2
seen,2
argument,2
role,2
today,2
perspective,2
collaboration,2
dimension,2
order,2
market,2
failure,2
conditioning,2
linked,2
greatest,2
caused,2
unacceptable,2
costa,2
data,2
working,2
activity,2
several,2
eg,2
greenhouse,2
maintain,2
industry,2
minority,2
sustainable,2
youth,2
two,2
product,2
concrete,2
successful,2
addressed,2
debate,2
internationally,2
essential,2
last,2
used,2
justify,2
rica,2
beyond,2
revised,2
monitoring,2
fund,2
electric,2
purpose,2
contribute,2
called,2
poorest,2
federal,2
allows,2
tax,2
adopts,2
concentrated,2
reading,2
improvement,2
know,2
consultation,2
zero,2
achieve,2
full,2
tree,2
u,2
continue,2
taking,2
second,2
largest,2
start,2
agriculture,2
basis,2
territory,2
interesting,2
private,2
unit,2
le,2
home,2
awareness,2
presented,2
source,2
creating,2
strong,2
breaking,2
come,2
internal,2
inefficient,2
equipment,2
fact,2
affect,2
well,2
using,2
school,2
health,2
general,2
run,2
taken,2
sustainability,2
rd,2
next,2
ii,2
et,2
competitiveness,2
fossil,2
isolated,2
affected,2
take,2
maritime,2
program,2
never,2
sectoral,2
rainfall,2
elimination,2
fishing,1
tributary,1
clear,1
treated,1
carefully,1
unfccc,1
ethical,1
sphere,1
consensus,1
consequence,1
value,1
dependent,1
nd,1
class,1
wasted,1
adapt,1
fight,1
aquaculture,1
difference,1
acidification,1
closely,1
rigorous,1
triangulation,1
various,1
additional,1
expressed,1
oecd,1
experience,1
emphasized,1
mainly,1
irreversible,1
practically,1
periodic,1
emphasize,1
item,1
meaningless,1
illegitimate,1
crucial,1
produce,1
diplomacy,1
financial,1
combating,1
behavecommercially,1
numerous,1
many,1
finance,1
lose,1
proposal,1
distinction,1
geopolitical,1
ideally,1
technique,1
nothing,1
anaturalphenomenon,1
preparatory,1
concatenated,1
presentation,1
best,1
assumed,1
defended,1
thepoorestand,1
givenbydefault,1
complementary,1
utopian,1
bolder,1
defend,1
similar,1
reproduction,1
happened,1
hiv,1
drug,1
became,1
defense,1
old,1
validity,1
provided,1
preferably,1
able,1
field,1
admitting,1
behave,1
ideal,1
availability,1
ensured,1
sensing,1
genetic,1
remote,1
southtechnologytransferinitiatives,1
access,1
restrict,1
certain,1
thetendencyof,1
counteract,1
type,1
funding,1
inappropriate,1
crop,1
signing,1
excessive,1
tackle,1
capital,1
answered,1
enter,1
extent,1
meaning,1
nationally,1
presenting,1
forgiving,1
word,1
investmentsin,1
thebrazil,1
contributes,1
thermal,1
element,1
negotiated,1
notdependon,1
signal,1
interest,1
starting,1
path,1
net,1
pursues,1
implement,1
mobility,1
significant,1
taxation,1
ambitious,1
scenario,1
thecalculationof,1
premise,1
promotion,1
foster,1
share,1
contrary,1
technological,1
transparency,1
final,1
comment,1
aviation,1
dirty,1
instrument,1
improve,1
preparation,1
air,1
room,1
instead,1
adequate,1
window,1
shower,1
detriment,1
heating,1
carrying,1
appear,1
andadministrative,1
car,1
relatedto,1
adhesion,1
business,1
principally,1
publicize,1
strengthen,1
accelerate,1
steel,1
cement,1
minimum,1
appliance,1
led,1
composed,1
young,1
proportion,1
narrative,1
thesis,1
andclimatechangedue,1
anthropogenic,1
materializes,1
maintained,1
distorted,1
despite,1
prospect,1
bloc,1
accountability,1
payment,1
reason,1
debt,1
likewise,1
explicit,1
implicitattemptsto,1
burden,1
north,1
receiving,1
implementationare,1
equation,1
calculates,1
omission,1
alreadythat,1
matter,1
engajamundobelieves,1
response,1
questionnaire,1
requiring,1
depth,1
prevents,1
itamaraty,1
organize,1
accessible,1
language,1
properly,1
legitimately,1
represented,1
materializing,1
fully,1
investing,1
aim,1
major,1
work,1
andexpansionofhydroelectricpower,1
mistaken,1
causing,1
greatsocio,1
environmentaldamageto,1
invest,1
end,1
comfort,1
generally,1
consuming,1
building,1
sequester,1
talking,1
theclimate,1
complexity,1
understanding,1
consists,1
guideline,1
prior,1
geographic,1
unique,1
singular,1
particular,1
provide,1
opportunity,1
research,1
systematically,1
methodically,1
consolidate,1
inversion,1
bethefront,1
said,1
honored,1
help,1
geographer,1
climatologist,1
standing,1
keep,1
advance,1
weaken,1
size,1
emitter,1
shown,1
purposeful,1
agenda,1
real,1
urgent,1
held,1
hostage,1
game,1
furthermore,1
reticent,1
iii,1
turn,1
eye,1
productive,1
mode,1
perish,1
asclimate,1
restricted,1
directed,1
towards,1
metric,1
comparison,1
sure,1
creativity,1
incentiveto,1
refers,1
somethingalready,1
quantified,1
ipcc,1
ar,1
agreed,1
durban,1
respect,1
oc,1
withoutfreeriders,1
immediate,1
wrong,1
aroadeconomy,1
protectionof,1
oil,1
commodity,1
export,1
converge,1
immediately,1
merelypostponingdiplomatic,1
rhetoric,1
construction,1
dizzying,1
occurring,1
number,1
realityfaticaand,1
developmentsustainable,1
theproduction,1
go,1
save,1
finally,1
prevent,1
humanity,1
inactivity,1
attitude,1
degree,1
achieved,1
recent,1
find,1
paradoxical,1
g,1
truly,1
set,1
rationalization,1
allocated,1
beobservedextremely,1
firstof,1
employed,1
really,1
supposed,1
prevention,1
direct,1
search,1
dialogue,1
complex,1
establishing,1
ratcheingup,1
bring,1
improving,1
limiting,1
relation,1
guided,1
realistic,1
reach,1
projection,1
extremely,1
important,1
ºc,1
electricity,1
reached,1
early,1
actionmeasuresare,1
absolutely,1
integrated,1
increasingthe,1
numberof,1
protected,1
mangrove,1
salt,1
fulfill,1
theworldaverage,1
income,1
positive,1
isimportant,1
perceive,1
articulation,1
proposed,1
approved,1
ex,1
code,1
care,1
onemissions,1
existing,1
legislation,1
obeyed,1
oversight,1
institutionally,1
unstructured,1
managed,1
substantially,1
recognized,1
forestry,1
collective,1
enormous,1
marsh,1
grass,1
bank,1
euets,1
org,1
kv,1
declaration,1
english,1
relevant,1
progressively,1
accumulation,1
century,1
resolved,1
shady,1
devaluation,1
achievement,1
normative,1
contradicts,1
thejusambientalistprincipleof,1
prohibiting,1
regression,1
administrative,1
materialization,1
legal,1
rule,1
makenoise,1
http,1
seaweed,1
campaign,1
rhodolithbanks,1
adequately,1
experimental,1
combination,1
optimal,1
kidnapping,1
answer,1
combined,1
withthend,1
waiting,1
negotiate,1
thetransfer,1
recognize,1
trading,1
recommended,1
reiteration,1
include,1
critical,1
analysis,1
structural,1
eu,1
minimize,1
isnecessary,1
provision,1
concession,1
channel,1
communication,1
agricultural,1
producer,1
performance,1
regulated,1
orlowcarboneconomyby,1
entire,1
fleet,1
municipal,1
open,1
prosper,1
bidding,1
green,1
stamp,1
bus,1
biogas,1
biofuel,1
entrepreneur,1
fore,1
directive,1
municipality,1
create,1
think,1
congress,1
pressure,1
good,1
company,1
recycling,1
biofuels,1
biomass,1
daily,1
preserve,1
engage,1
requirement,1
intrinsic,1
serving,1
spared,1
domestically,1
stimulate,1
opinion,1
formulation,1
call,1
joint,1
solid,1
tie,1
direction,1
follow,1
regulation,1
spatial,1
issubstantialbut,1
little,1
notably,1
thepdesepe,1
accordingly,1
preventing,1
thelockininfrastructuraland,1
key,1
bioenergy,1
discourse,1
ofhistoricalresponsibilitiesused,1
cannotbe,1
sustained,1
theperspectiveofcarbonbudgets,1
around,1
gtcoe,1
economyisincreasingly,1
trade,1
barrier,1
thepricingcarbon,1
cease,1
taboo,1
arbitrary,1
ongoing,1
saying,1
changemust,1
biotic,1
abiotic,1
particularity,1
send,1
worth,1
cooperate,1
focus,1
preparing,1
expand,1
proceed,1
obtain,1
record,1
china,1
turkey,1
thus,1
readiness,1
plastic,1
pet,1
priority,1
relationtothese,1
mitigateclimate,1
require,1
non,1
yet,1
production,1
diversify,1
abenefitfor,1
coastal,1
rise,1
sea,1
governance,1
disaster,1
transformation,1
successfully,1
network,1
justification,1
humanpanorama,1
involvement,1
component,1
deal,1
excluded,1
demonstrated,1
nobre,1
coeet,1
pires,1
directly,1
interfere,1
seeking,1
along,1
dry,1
evident,1
reasonable,1
timeframe,1
efficiently,1
three,1
special,1
attention,1
given,1
expectation,1
sensitivity,1
living,1
brings,1
range,1
within,1
institutionalized,1
challenge,1
qualityofater,1
dueto,1
thehigh,1
dependence,1
hydroelectric,1
highly,1
close,1
relationship,1
monitor,1
aridnortheastern,1
center,1
reorganize,1
weather,1
subgroup,1
representative,1
discussion,1
grassroots,1
covered,1
concluded,1
includes,1
diversity,1
indigenous,1
promote,1
conservation,1
depend,1
survival,1
expected,1
version,1
finalized,1
paris,1
cop,1
socially,1
thesemi,1
central,1
proportional,1
agribusiness,1
biggest,1
obstacle,1
progress,1
thedeforestation,1
ofbrazilianforests,1
especiallyin,1
theamazon,1
become,1
corresponds,1
half,1
adopt,1
intends,1
neutrality,1
planting,1
absorb,1
million,1
planted,1
landowner,1
manage,1
financingadaptation,1
excessively,1
theintegrated,1
letter,1
conscious,1
southwest,1
bahia,1
art,1
implicitly,1
established,1
unable,1
unilateral,1
inspection,1
popular,1
intense,1
previously,1
analyzing,1
planned,1
tobeingunconstitutional,1
refine,1
enhance,1
optimize,1
actionsbraisleirasmade,1
far,1
ever,1
seem,1
parallel,1
x,1
faculdade,1
student,1
teacher,1
brasília,1
annual,1
aprodab,1
association,1
ofenvironmental,1
lawteachersof,1
difficult,1
formation,1
citizen,1
capable,1
dealing,1
homeland,1
dissertation,1
fernando,1
de,1
azevedo,1
alves,1
brito,1
uesb,1
entitled,1
perception,1
stimulation,1
providing,1
complete,1
generate,1
forecast,1
carry,1
mixed,1
approach,1
characterizeprivileges,1
favor,1
limited,1
consolidation,1
material,1
equality,1
worked,1
homogeneous,1
cartesian,1
mechanistic,1
thiscamplexitycannot,1
suicidal,1
paralysis,1
deferral,1
forget,1
economics,1
valid,1
worst,1
planet,1
compliance,1
sharp,1
noted,1
scholar,1
represent,1
overwhelming,1
majority,1
researcher,1
agree,1
outweigh,1
cumulative,1
damage,1
tackled,1
height,1
maytriggerthe,1
tenuous,1
line,1
planetary,1
balance,1
healthy,1
simply,1
viableand,1
consequently,1
preservation,1
