Third_Sector,freq
emission,388
country,281
climate,253
brazil,225
adaptation,195
change,183
action,168
reduction,166
national,162
must,156
policy,139
plan,138
resource,117
mitigation,115
year,112
target,107
sector,106
global,103
impact,102
period,102
brazilian,98
development,97
energy,86
economy,83
reduce,81
gas,81
greenhouse,79
new,78
international,75
social,74
commitment,73
unfccc,73
contribution,70
growth,70
also,69
goal,66
based,66
important,64
cooperation,63
necessary,63
area,62
different,62
objective,61
forest,60
population,59
economic,59
limit,58
time,58
effort,57
environmental,55
mechanism,55
capacity,54
example,54
responsibility,53
therefore,53
term,53
deforestation,53
reducing,52
order,50
addition,50
process,50
degree,50
warming,48
result,47
consider,47
government,47
level,46
investment,45
within,45
need,45
way,45
vulnerability,44
measure,44
nationally,43
public,43
technology,43
future,43
resilience,43
agreement,43
market,42
one,42
well,41
celsius,40
already,40
system,40
developing,39
carbon,39
effect,38
strategy,37
debate,37
use,37
possible,36
long,36
gt,36
however,35
implementation,35
mean,35
world,35
determined,34
fund,34
increase,34
see,34
community,34
support,34
ipcc,33
significant,33
post,33
coeq,33
etc,32
region,32
work,32
since,32
approach,32
le,31
per,31
part,31
cost,31
especially,31
net,31
security,30
still,30
scenario,30
according,30
negotiation,29
loss,29
initiative,29
increasing,29
south,29
could,29
definition,28
even,28
would,28
due,28
main,27
much,27
nation,27
efficiency,27
question,27
developed,27
position,26
source,26
prevention,26
current,26
among,26
agriculture,26
biodiversity,25
relation,25
land,25
decision,25
made,25
horizon,25
scope,24
share,24
presented,24
understand,24
group,24
related,24
report,23
local,23
making,23
amazon,23
case,23
http,23
view,23
expected,23
caput,22
achieve,22
contribute,22
offset,22
essential,22
path,22
make,22
sustainable,22
monitoring,22
major,22
historical,22
large,22
low,21
regional,21
human,21
water,21
effective,21
poverty,21
society,21
set,21
participation,21
practice,21
decade,21
whole,21
opportunity,20
control,20
education,20
condition,20
indicator,20
ecosystem,20
hand,20
ambitious,19
transition,19
assessment,19
organization,19
defined,19
sense,19
concern,19
appropriate,19
br,19
option,19
clean,19
proposal,19
pattern,18
role,18
elaboration,18
cause,18
recent,18
risk,18
increased,18
th,18
best,18
bank,18
activity,18
redd,18
potential,18
demand,18
ghg,18
recommends,18
inequality,18
great,18
dynamic,17
life,17
benefit,17
lower,17
generation,17
problem,17
reference,17
issue,17
sectoral,17
org,17
environment,17
renewable,17
considers,17
service,17
transfer,17
mainly,17
include,16
possibility,16
food,16
average,16
adequate,16
vulnerable,16
define,16
end,16
waste,16
planet,16
study,16
emitter,16
available,16
maximum,16
first,16
analyzes,16
specific,16
whether,16
context,16
absolute,16
able,15
includes,15
people,15
principle,15
million,15
including,15
may,15
cover,15
considering,15
priority,15
alternative,15
face,15
gdp,15
gtcoeq,15
proposed,15
job,15
emerging,15
convention,15
peak,14
observatory,14
beginning,14
green,14
progress,14
transport,14
limiting,14
r,14
caused,14
urban,14
elimination,14
financing,14
health,14
rate,14
application,14
training,14
sectorial,14
adapt,14
defining,14
inhabitant,14
credit,14
positive,14
agricultural,14
mobility,14
natural,14
program,14
instrument,14
total,14
agenda,13
evaluation,13
allows,13
establish,13
general,13
higher,13
today,13
take,13
progressive,13
good,13
crisis,13
implement,13
placed,13
feasible,13
two,13
logic,13
degradation,13
used,13
start,13
despite,13
construction,13
element,13
early,13
knowledge,12
direct,12
production,12
little,12
equity,12
depend,12
critical,12
prevent,12
family,12
projected,12
regard,12
promote,12
collective,12
external,12
actor,12
rule,12
equitable,12
woman,12
basin,12
diversity,12
wide,12
coordinated,12
without,12
win,12
form,12
deal,12
ensure,12
trade,12
give,12
indigenous,12
generate,12
creation,12
non,12
coming,12
combat,11
criterion,11
project,11
concept,11
least,11
vegetation,11
go,11
child,11
lead,11
point,11
interference,11
extreme,11
like,11
ºc,11
research,11
warning,11
finally,11
worker,11
salt,11
consultation,11
last,11
intermediate,11
guarantee,11
regime,11
federal,11
inaction,11
generated,11
pre,11
several,11
reached,11
largest,11
existing,11
achieved,11
significantly,11
fact,11
relevant,10
gender,10
cooperate,10
reduced,10
cannot,10
intended,10
greater,10
fossil,10
lobby,10
temperature,10
conservation,10
various,10
latin,10
commit,10
maintenance,10
ton,10
legislation,10
assume,10
light,10
think,10
stage,10
management,10
regarding,10
poorest,10
et,10
model,10
al,10
indicate,10
currently,10
industrial,10
previous,10
political,10
www,10
attention,10
index,10
strongly,10
agribusiness,10
budget,10
believe,10
search,10
special,10
product,10
hydroelectric,10
science,9
baseline,9
purpose,9
reality,9
thinking,9
avoid,9
live,9
observed,9
scientific,9
urgent,9
north,9
response,9
entire,9
keeping,9
matrix,9
compatible,9
preservation,9
q,9
intensive,9
synergy,9
designated,9
sustainability,9
play,9
civil,9
common,9
strengthening,9
central,9
anthropic,9
saving,9
annual,9
scale,9
limitation,9
propose,9
variability,9
although,9
associated,9
understood,9
requires,9
gap,9
starting,9
calculator,9
another,8
topic,8
native,8
structure,8
adopting,8
structuring,8
conditioned,8
investing,8
distribution,8
negative,8
type,8
quickly,8
called,8
mode,8
de,8
next,8
january,8
december,8
needed,8
seek,8
delay,8
capable,8
occurs,8
dangerous,8
presupposes,8
enter,8
exceeding,8
trajectory,8
adoption,8
comment,8
extent,8
perhaps,8
signatory,8
carta,8
multiple,8
decentralization,8
intervention,8
ethnicity,8
race,8
others,8
guided,8
existence,8
complex,8
fuel,8
deserve,8
black,8
concentration,8
monoculture,8
expansion,8
pillar,8
package,8
heating,8
mapping,8
substantially,8
working,8
financial,8
quality,8
adapting,8
supply,8
recommendation,8
projection,8
cp,8
real,8
footing,8
equal,8
combine,8
tackle,8
preventing,8
adjustment,8
farming,8
disaster,8
prevents,8
expand,8
american,8
nutrition,8
housing,8
want,8
extensive,8
business,8
estimated,8
integration,7
obligation,7
finance,7
coherent,7
subsidizes,7
lost,7
state,7
giving,7
almost,7
consequence,7
note,7
ecological,7
block,7
enabling,7
differentiated,7
ass,7
specie,7
represent,7
amount,7
territorially,7
expressive,7
identification,7
allocated,7
register,7
execution,7
subject,7
constructed,7
positioning,7
responsible,7
guideline,7
acceptable,7
value,7
decisive,7
survival,7
cop,7
sharing,7
high,7
nd,7
assumption,7
aspx,7
arising,7
constituting,7
majority,7
mitigate,7
correspond,7
default,7
performance,7
allocation,7
intensified,7
coepbrasil,7
challenge,7
clima,7
america,7
ar,7
seems,7
compensation,7
recommended,7
cumulative,7
nature,7
parameter,7
germany,7
implementing,7
ambition,7
given,7
immense,7
billion,7
situation,7
complicated,7
quantifiable,7
detail,7
registration,7
mobilization,7
planted,7
private,7
duration,7
export,7
find,7
setting,7
follow,7
revision,7
consumption,7
risky,7
citizen,7
improvement,7
trend,7
advance,7
plant,7
three,7
accelerated,7
included,7
five,7
message,7
right,7
city,7
bring,7
compared,7
passed,7
room,7
reflected,7
rebate,7
know,7
reach,7
happen,7
exhaustive,7
legally,6
evaluate,6
manner,6
approved,6
device,6
strengthened,6
indicated,6
argue,6
ago,6
carry,6
reflects,6
income,6
debt,6
put,6
extended,6
com,6
taken,6
eco,6
interpretation,6
cultural,6
insufficiency,6
yet,6
st,6
industry,6
atmosphere,6
premise,6
deceleration,6
necessarily,6
taking,6
decent,6
coe,6
mcti,6
subsidy,6
negotiating,6
belém,6
stabilize,6
incentive,6
traditional,6
advocated,6
ibge,6
discussed,6
ministry,6
adaptive,6
ex,6
preserved,6
empower,6
insertion,6
omission,6
rural,6
economically,6
exclusively,6
público,6
projectsdeadaptacao,6
northern,6
accepted,6
pt,6
presentation,6
decided,6
contain,6
_ftn,6
norway,6
expanding,6
methodology,6
develops,6
solely,6
done,6
employment,6
recognizing,6
eventually,6
greatest,6
relationship,6
um,6
boell,6
duty,6
warsaw,6
regardless,6
valid,6
fight,6
profile,6
intensity,6
b,6
radically,6
oppose,6
contrary,6
exploration,6
provision,6
rumo,6
unfcc,6
orientation,6
incompatible,6
implies,6
neglected,6
prospect,6
adjusted,5
registered,5
strategically,5
promoting,5
maritime,5
generating,5
strategic,5
estimating,5
quantitative,5
together,5
depending,5
weight,5
incorporates,5
grupo,5
discus,5
observer,5
many,5
expert,5
resilient,5
improving,5
guide,5
maintain,5
enormous,5
forestry,5
imaflora,5
mathews,5
corresponds,5
maximizes,5
unit,5
infrastructure,5
third,5
around,5
höhne,5
institute,5
analyzing,5
create,5
prepared,5
discussion,5
primarily,5
minority,5
simulation,5
ecoequity,5
promotion,5
stockholm,5
balance,5
efficient,5
creating,5
dogma,5
yes,5
safe,5
allow,5
labor,5
repair,5
unfortunately,5
space,5
basic,5
accumulated,5
concerned,5
likely,5
serve,5
defines,5
particular,5
defended,5
medium,5
unquestionable,5
us,5
review,5
charge,5
thus,5
category,5
degraded,5
encourage,5
steel,5
individual,5
establishing,5
account,5
standard,5
driven,5
voluntary,5
assuming,5
agrofuels,5
hydrographic,5
agree,5
meeting,5
technological,5
continue,5
articulation,5
absolutely,4
event,4
guaranteed,4
run,4
completely,4
extractive,4
farmer,4
information,4
consumer,4
axis,4
strengthen,4
solid,4
brings,4
welcome,4
longer,4
cleaner,4
multilateral,4
agreed,4
acordo,4
fully,4
internacional,4
eliminate,4
focus,4
carried,4
sobre,4
socio,4
linked,4
stronger,4
movement,4
transportation,4
certainty,4
taxation,4
youth,4
collaboration,4
drought,4
reusing,4
protection,4
insurance,4
justice,4
deepen,4
financializing,4
barrier,4
restriction,4
domestically,4
sovereignly,4
latest,4
exporting,4
complexing,4
fair,4
derived,4
livestock,4
paraná,4
aim,4
corresponding,4
resist,4
seed,4
maintaining,4
modified,4
northeast,4
correct,4
firm,4
allocating,4
ceiling,4
landscape,4
relatively,4
consensus,4
stabilization,4
neighboring,4
integrated,4
intensively,4
entering,4
table,4
mechanization,4
cut,4
actually,4
occupation,4
certified,4
genetically,4
concluded,4
link,4
shown,4
come,4
dialogue,4
estimate,4
deforested,4
develop,4
enable,4
sanitation,4
productive,4
governmental,4
continues,4
permanent,4
zero,4
consistent,4
word,4
abc,4
effectiveness,4
annex,4
instead,4
victory,4
equivalent,4
full,4
better,4
freedom,4
towards,4
trillion,4
line,4
pointed,4
damage,4
provide,4
agroforestry,4
clear,4
cutting,4
perspective,4
really,4
pasture,4
entity,4
licensing,4
ensuring,4
c,4
prospective,3
fisherman,3
transparency,3
migratory,3
happening,3
threatened,3
capturing,3
sewage,3
started,3
described,3
initial,3
joint,3
lethargy,3
subgroup,3
representative,3
justify,3
grassroots,3
rainwater,3
foster,3
reason,3
continent,3
answer,3
stern,3
nicholas,3
justification,3
rejecting,3
eg,3
hinders,3
flow,3
globally,3
care,3
pursues,3
theme,3
planting,3
eliminated,3
fear,3
importance,3
student,3
calculation,3
reorientation,3
tax,3
demanding,3
democracy,3
task,3
articulated,3
stimulating,3
earlier,3
either,3
peasant,3
address,3
agroextractive,3
quilombolas,3
popular,3
across,3
war,3
doc,3
continuation,3
rigor,3
reimbursable,3
ongase,3
gradually,3
schedule,3
prioritize,3
internalize,3
constitutional,3
envisage,3
exist,3
capture,3
integrating,3
formatting,3
help,3
grupocartadebelem,3
version,3
finalized,3
wordpress,3
paris,3
federative,3
timely,3
certain,3
slow,3
que,3
aiming,3
apparently,3
redirect,3
stated,3
preventive,3
suitable,3
underlying,3
harmful,3
merely,3
corrective,3
metropolitan,3
base,3
small,3
planning,3
paraguay,3
downstream,3
discussing,3
influencing,3
influenced,3
recovery,3
severity,3
building,3
president,3
u,3
lula,3
upstream,3
copenhagen,3
committed,3
collaborate,3
agency,3
decree,3
financially,3
led,3
administrative,3
liquid,3
decelerating,3
sized,3
biome,3
contemplates,3
comparable,3
member,3
rhetoric,3
past,3
choosing,3
purchase,3
manufacture,3
framework,3
fab,3
fighter,3
plane,3
belief,3
technical,3
email,3
spent,3
politically,3
morally,3
indefensible,3
granting,3
dirty,3
abroad,3
practiced,3
sent,3
effectively,3
phase,3
reservoir,3
command,3
limited,3
recognized,3
increment,3
inevitable,3
sp,3
permissive,3
away,3
urgency,3
look,3
fundamental,3
throwing,3
restore,3
recover,3
stop,3
growing,3
economics,3
marcovitch,3
refugee,3
considered,3
dubeux,3
margulis,3
ii,3
rubens,3
meet,3
born,3
reconciled,3
pricing,3
issuu,3
broad,3
worldwide,3
reparation,3
person,3
leadership,3
range,3
realistic,3
extremely,3
catchment,3
implemented,3
lagamar,3
grow,3
contingency,3
lowest,3
quantify,2
deviation,2
highlight,2
relative,2
alone,2
difficulty,2
produce,2
assumed,2
always,2
reasonable,2
robust,2
begin,2
stabilizing,2
following,2
ilo,2
belem,2
something,2
move,2
eradicating,2
interspersed,2
entrepreneur,2
capitalist,2
overcome,2
aluminum,2
adopted,2
proportionally,2
return,2
awareness,2
turned,2
asset,2
sphere,2
mostly,2
solution,2
aimed,2
seeking,2
profit,2
environmentalist,2
internal,2
looking,2
proactive,2
discourse,2
basis,2
providing,2
partner,2
place,2
reflect,2
occur,2
conversion,2
healthier,2
leading,2
widely,2
greenpeace,2
advanced,2
eradicate,2
parallel,2
seriousness,2
gradual,2
modal,2
oc,2
property,2
tourism,2
respect,2
notably,2
electricity,2
thepublicmanager,2
motorized,2
sea,2
weather,2
demonstrating,2
racism,2
beyond,2
reduces,2
rather,2
contributed,2
receive,2
conditioning,2
seriously,2
changewith,2
ecologicaldebt,2
forglobal,2
climatepolicy,2
dimension,2
add,2
pressure,2
equality,2
emphasis,2
composed,2
covered,2
resulting,2
sensitive,2
questionnaire,2
requiring,2
depth,2
freshwater,2
deserves,2
consequently,2
itamaraty,2
organize,2
accessible,2
socioeconomic,2
inclusion,2
language,2
properly,2
engajamundo,2
young,2
fulfill,2
car,2
short,2
field,2
accelerate,2
cement,2
minimum,2
appliance,2
wg,2
final,2
equipment,2
aviation,2
negotiated,2
organic,2
signal,2
interest,2
legitimately,2
recycling,2
panel,2
represented,2
substantial,2
culture,2
intensify,2
hydroelectricity,2
inspection,2
height,2
determining,2
gdrights,2
highlighted,2
immediate,2
extraction,2
treaty,2
ratcheing,2
maintained,2
managed,2
consume,2
decrease,2
strongerresponse,2
brazilhas,2
countless,2
data,2
intensiveextractive,2
dam,2
dynamichas,2
standardshould,2
climatechange,2
commitmentto,2
ofagrofuels,2
emissionsin,2
incrementof,2
thedynamics,2
waterresources,2
paper,2
successful,2
reviewing,2
fao,2
pnmc,2
rethink,2
indicates,2
ax,2
terrestrial,2
combining,2
apply,2
manager,2
co,2
second,2
century,2
supported,2
ppm,2
law,2
kyoto,2
impediment,2
expressed,2
reuse,2
serious,2
coast,2
deadline,2
regulatory,2
imply,2
pg,2
unrestrained,2
factor,2
hlpe,2
obtain,2
tantamount,2
coordinator,2
represents,2
observatório,2
adverse,2
known,2
amplifying,1
stand,1
rampant,1
marine,1
dozen,1
explore,1
leverage,1
allowing,1
later,1
adopt,1
obstacle,1
operation,1
drive,1
injustice,1
consumerist,1
usa,1
guaranteeing,1
participant,1
corruption,1
internationalist,1
enhancement,1
evaluated,1
enough,1
biodiverse,1
hope,1
commodity,1
occurring,1
residue,1
recurring,1
putting,1
tool,1
accordance,1
discredit,1
tribal,1
force,1
extend,1
build,1
valuing,1
sens,1
colonial,1
photovoltaic,1
facing,1
provides,1
wind,1
solving,1
exchange,1
obsolescence,1
united,1
disconnect,1
planned,1
amazonian,1
machine,1
moving,1
gear,1
furthermore,1
direction,1
institutionalize,1
proposing,1
insist,1
unify,1
throughout,1
installed,1
active,1
hundred,1
aid,1
waiting,1
sufficient,1
evident,1
burden,1
partnership,1
anchored,1
successive,1
demonstrated,1
increasingly,1
bear,1
gained,1
failure,1
biodigesters,1
emitting,1
root,1
violation,1
evolution,1
practical,1
varying,1
transversal,1
submit,1
environmentalorganizations,1
letter,1
design,1
productionhas,1
directplanting,1
iconsider,1
experiencing,1
wrote,1
weak,1
issuing,1
internationally,1
emphasized,1
paramount,1
protagonist,1
innovative,1
analysis,1
maintains,1
variation,1
susceptible,1
approximately,1
bringing,1
simultaneously,1
portion,1
writing,1
maximize,1
communicated,1
da,1
computer,1
date,1
raised,1
communication,1
course,1
achievable,1
probability,1
accomplished,1
quarter,1
integrates,1
observe,1
guiding,1
wgii,1
honor,1
threat,1
permeable,1
perpetuate,1
trying,1
underscore,1
participate,1
forget,1
revitalization,1
prejudice,1
locality,1
musculature,1
collecting,1
code,1
check,1
hard,1
built,1
let,1
cycle,1
resumption,1
road,1
synthesized,1
idea,1
filling,1
positively,1
unsustainable,1
immensity,1
hostage,1
free,1
held,1
import,1
destroyed,1
minimally,1
mj,1
pstm,1
mitigating,1
shift,1
autonomous,1
invests,1
vehicle,1
produced,1
keep,1
perceive,1
shore,1
mansion,1
changing,1
km,1
thing,1
six,1
envisaged,1
withdraw,1
ppcdam,1
favoring,1
ppcerrado,1
provider,1
fall,1
exercised,1
gaseous,1
economist,1
revised,1
forecast,1
tco,1
inhab,1
prominent,1
grown,1
indicating,1
warns,1
referred,1
usual,1
curve,1
clearly,1
interval,1
innext,1
ªq,1
depends,1
essentially,1
union,1
df,1
municipality,1
scrapping,1
ibama,1
precariousness,1
inexistence,1
align,1
z,1
legal,1
mtco,1
show,1
safest,1
tackling,1
synergistic,1
engine,1
improves,1
proper,1
disposal,1
profitability,1
curbing,1
contradiction,1
proposition,1
replace,1
evolved,1
considerably,1
rcp,1
gtcoe,1
issued,1
upward,1
engaged,1
predicted,1
sum,1
x,1
municipal,1
inertia,1
usually,1
envision,1
profound,1
identify,1
achievement,1
determination,1
effluent,1
pulp,1
animal,1
extinction,1
imbalance,1
chain,1
pollutant,1
dependence,1
electrical,1
proved,1
insufficient,1
presence,1
producer,1
unaware,1
presidency,1
republic,1
house,1
pastoralism,1
biomass,1
formulated,1
unable,1
complementary,1
conjunction,1
federated,1
lc,1
avoiding,1
suggests,1
constitutes,1
weakest,1
soy,1
biggest,1
savanization,1
repeal,1
amnesty,1
granted,1
degrader,1
totally,1
plmc,1
excluding,1
impeding,1
outweigh,1
circumstance,1
protocol,1
quantified,1
bali,1
aspect,1
hinterland,1
northeastern,1
affect,1
automobile,1
renewables,1
fire,1
reserve,1
act,1
polluting,1
everyday,1
found,1
supermarket,1
conception,1
intensifying,1
selective,1
collection,1
daily,1
thought,1
deepening,1
applies,1
precisely,1
repeating,1
tortuous,1
environmentally,1
industrialized,1
far,1
betting,1
replacement,1
strict,1
ran,1
holding,1
commencement,1
balanced,1
imaginative,1
pluralistic,1
incipient,1
viable,1
imazon,1
relevance,1
drastically,1
continuous,1
wwf,1
mx,1
noticias,1
viablelainversindelsectorprivadopomompromovercrecimientoeconmicobajoenemisionesdecarbono,1
continued,1
stability,1
contemplating,1
footprint,1
mentioned,1
respecting,1
prioritized,1
route,1
permanence,1
degrowth,1
elaborate,1
extensively,1
seen,1
ranking,1
surpassing,1
aware,1
anticipating,1
diversification,1
established,1
brics,1
residential,1
added,1
appears,1
modification,1
become,1
requalification,1
nothing,1
affected,1
restricted,1
inventory,1
faster,1
reaching,1
double,1
approached,1
tcoe,1
pbmc,1
percentage,1
analyze,1
segment,1
learning,1
narrow,1
numerous,1
tend,1
quest,1
broader,1
progressively,1
everyone,1
history,1
inherent,1
collect,1
took,1
directed,1
mining,1
contributing,1
practically,1
devoid,1
wealth,1
join,1
seem,1
consolidate,1
appreciation,1
expensive,1
consequent,1
directly,1
respectively,1
excessive,1
heat,1
location,1
coupled,1
lack,1
death,1
upheaval,1
every,1
considerable,1
afford,1
eligible,1
specifically,1
financed,1
stock,1
geographic,1
train,1
manpower,1
invisible,1
leaving,1
step,1
back,1
via,1
disastrous,1
demonstrates,1
summer,1
rain,1
though,1
heavy,1
brazilianactionson,1
cerrado,1
andean,1
southern,1
cone,1
bigger,1
humanity,1
externalized,1
say,1
disagree,1
false,1
harmonious,1
symptomatic,1
turn,1
created,1
agro,1
encouraging,1
rppns,1
systematic,1
improbity,1
flood,1
rise,1
scarcity,1
ineffective,1
architecture,1
survive,1
racismare,1
rio_,1
lived,1
cdm,1
amazonfund,1
damaging,1
knock,1
door,1
erroneous,1
disadvantaged,1
centralized,1
poorly,1
diversified,1
status,1
quo,1
nationality,1
pollute,1
seventh,1
rank,1
ten,1
additional,1
tied,1
upper,1
bottom,1
lesson,1
differentcommitmentsfrom,1
talk,1
middle,1
payment,1
chosen,1
harsh,1
charging,1
owe,1
fulfillment,1
listed,1
article,1
clearer,1
prioritizing,1
cooperating,1
inspiration,1
analogous,1
advisable,1
bipolar,1
division,1
complexity,1
china,1
india,1
africa,1
qualify,1
needycountries,1
aspiration,1
reflex,1
paid,1
slave,1
cf,1
fileadmin,1
user_upload,1
hlpe_documents,1
hlpe_reports,1
food_security_and_climate_change,1
june_,1
pdf,1
comprehensive,1
adaptationstrategyto,1
cdb,1
intentionally,1
constantly,1
treated,1
executive,1
summary,1
identified,1
ongoing,1
pointing,1
gain,1
atlantic,1
boticário,1
foundation,1
fgb,1
chapter,1
participated,1
advantage,1
publico,1
pantanal,1
wetland,1
simply,1
humidity,1
careful,1
habit,1
disposable,1
disseminate,1
recycle,1
ecoeconomics,1
material,1
fbmc,1
reflection,1
sine,1
qua,1
containing,1
present,1
establishes,1
preparation,1
elaborating,1
emphasize,1
suggestion,1
projetosdeadaptacao,1
bio,1
notice,1
whose,1
coverage,1
relate,1
class,1
academy,1
male,1
female,1
tripartite,1
professional,1
qualification,1
adequacy,1
paradigm,1
invest,1
adapted,1
establishment,1
content,1
healthy,1
four,1
forced,1
abolition,1
discrimination,1
dignity,1
promotedecentjobs,1
improve,1
conserve,1
impacted,1
poor,1
involves,1
selecting,1
mosaic,1
protected,1
são,1
paulo,1
annually,1
researcher,1
ucs,1
mosaico,1
invested,1
fapesp,1
september,1
shaken,1
addressed,1
structural,1
designing,1
difference,1
elderly,1
diverse,1
notable,1
insert,1
deficient,1
unfair,1
greeting,1
